cohort,method,n_signatures,n_samples,pc1_var_explained,pc2_var_explained,pc1_corr_gep,pc1_corr_estimate_immune,pc1_corr_tumor_purity
Mariathasan,mean_z,98,348,0.5694272743514278,0.1130492947510621,0.88827824769173,0.7571186328532343,-0.7158422030541735
Braun,mean_z,99,181,0.5848637421060185,0.0948611625933538,0.8015642344006869,0.38229147125031593,-0.43488555038543786
Liu,mean_z,98,121,0.7308035378993224,0.08112923793972975,0.8731383619636044,0.5258766485952796,-0.48666622436519713
Limagne1,mean_z,98,70,0.7652518426204064,0.038679679747366066,0.9295354064583465,0.7007152176199603,-0.6203487506322438
Puch,mean_z,99,55,0.553166372354498,0.10412109263354409,0.863988456332542,0.6067236790992012,-0.6270142195796576
Van_Allen,mean_z,99,42,0.6156713962743643,0.13581715992239657,0.8717152465614944,0.8098739840925858,-0.7919340985276695
Gide,mean_z,98,41,0.6185839622069442,0.12371462656959517,0.8980433116642524,0.7733756695997771,-0.7650549092312344
Kim,mean_z,98,45,0.4531538098797301,0.15702496271112598,0.6844211171179932,0.4466045789317513,-0.49014023937713214
Riaz,mean_z,98,46,0.572179061646238,0.1613496826425528,0.8710595246977685,0.750717769036296,-0.72953027901405
Miao1,mean_z,99,33,0.46313199307549296,0.20507063536060752,0.6669251048087851,0.2662682007442408,-0.48224118618474887
Hugo,mean_z,98,27,0.5024823743364761,0.19302217972538727,0.6746152894929981,0.5725422023325696,-0.6505569735672054
Jung,mean_z,98,27,0.39035552841885485,0.24673680559618524,0.8177405477542732,0.6453670634815566,-0.5755586488842188
Nathanson,mean_z,98,24,0.575620373011484,0.11450611389517536,0.928681081654986,0.9713118378310039,-0.9509640667212858
Limagne2,mean_z,98,26,0.4808529817973941,0.0932503725884105,0.8302363048733146,0.5032241214840032,-0.5190443425622663
