cohort,method,n_signatures,n_samples,pc1_var_explained,pc2_var_explained,pc1_corr_gep,pc1_corr_estimate_immune,pc1_corr_tumor_purity
Mariathasan,ssgsea,98,348,0.4536690507227115,0.11816624926015033,0.9025789145649655,0.9823135798184169,-0.9470064597130776
Braun,ssgsea,99,181,0.26769805505159117,0.11058914205137355,0.8175926173933259,0.8874475288224717,-0.8185219476022626
Liu,ssgsea,98,121,0.3858122489536287,0.12487629425225674,0.9112878694717723,0.970884187325885,-0.946537949571702
Limagne1,ssgsea,98,70,0.3311661697659142,0.1517347042663324,0.47790101057299805,0.7604047952381613,-0.7070294124883442
Puch,ssgsea,99,55,0.3765011328670535,0.10021218922063897,0.9071344777450047,0.9658727191948042,-0.9297083982538769
Van_Allen,ssgsea,99,42,0.47374476860249587,0.12258152458045844,0.8873072081140626,0.986416019213117,-0.9249390996998056
Gide,ssgsea,98,41,0.5109656477724237,0.10509073195789295,0.9400370129687988,0.9769241745041392,-0.9286825361648896
Kim,ssgsea,98,45,0.4624525055154832,0.12061052242982362,0.8806760080555803,0.9210076660603995,-0.7902830791264194
Riaz,ssgsea,98,46,0.568507332683698,0.09161377783358486,0.913108343964367,0.9788682289204236,-0.9319705549061199
Miao1,ssgsea,99,33,0.35348538516368694,0.18057261153523657,0.9463991588592723,0.9616032144607148,-0.6502640596676825
Hugo,ssgsea,98,27,0.3942636374213686,0.16235511616912818,0.8742293929361596,0.9562658902912301,-0.8144565342687271
Jung,ssgsea,98,27,0.452578482842489,0.11378419941627241,0.9330462471396725,0.9801569215561355,-0.7453681514445724
Nathanson,ssgsea,85,24,0.6062141345269042,0.10259325895626198,0.9479419033150741,0.9879069628627057,-0.9535721050650734
Limagne2,ssgsea,98,26,0.35783926294840357,0.15466424276989033,0.8955335375090218,0.9302602307652521,-0.8856837949629709
