cohort,n_samples,n_response_labeled,n_responder,n_nonresponder,responder_rate,minority_class,n_expressed_genes,n_with_os,cancer_type,primary_cancer_type,treatment,G1_min_labeled,G2_min_minority,G3_min_genes,passes_gate,failing_criteria
Mariathasan,348,235,68,167,0.2894,68,17884,348,Bladder|Kidney|Liver|Lung|Lymph_node|Unknown|Ureteral,Bladder,PD-1/PD-L1,True,True,True,True,
Braun,181,142,39,103,0.2746,39,40960,181,Kidney,Kidney,PD-1/PD-L1,True,True,True,True,
Liu,121,112,52,60,0.4643,52,20212,121,Melanoma,Melanoma,Combo|PD-1/PD-L1,True,True,True,True,
Limagne1,70,69,17,52,0.2464,17,22393,0,Lung,Lung,anti-PD-1,True,True,True,True,
Puch,55,49,14,35,0.2857,14,16469,0,Melanoma,Melanoma,PD-1/PD-L1,True,True,True,True,
Van_Allen,42,39,9,30,0.2308,9,27484,42,Melanoma,Melanoma,CTLA4,True,True,True,True,
Gide,41,38,19,19,0.5,19,38723,41,Melanoma,Melanoma,PD-1/PD-L1,True,True,True,True,
VanDenEnde,35,32,12,20,0.375,12,17177,0,Esophageal,Esophageal,PD-1/PD-L1,True,True,True,True,
Kim,45,31,13,18,0.4194,13,38263,0,Gastric,Gastric,PD-1/PD-L1,True,True,True,True,
Riaz,46,30,9,21,0.3,9,38275,46,Melanoma,Melanoma,Combo|PD-1/PD-L1,True,True,True,True,
Miao1,33,28,10,18,0.3571,10,25130,33,Kidney,Kidney,PD-1/PD-L1,True,True,True,True,
Hugo,27,27,14,13,0.5185,13,41851,26,Melanoma,Melanoma,PD-1/PD-L1,True,True,True,True,
Jung,27,27,8,19,0.2963,8,38428,0,Lung,Lung,PD-1/PD-L1,True,True,True,True,
Nathanson,24,24,10,14,0.4167,10,32302,24,Melanoma,Melanoma,CTLA4,True,True,True,True,
Limagne2,26,22,6,16,0.2727,6,44416,0,Lung,Lung,anti-PD-1/anti-PD-L1,True,True,True,True,
Jerby_Arnon,112,96,43,53,0.4479,43,584,0,Melanoma,Melanoma,PD-1/PD-L1,True,True,False,False,G3
Padron,45,23,3,20,0.1304,3,19736,45,Pancreas,Pancreas,PD-1/PD-L1,True,False,True,False,G2
Snyder,25,18,8,10,0.4444,8,32074,25,Ureteral,Ureteral,PD-1/PD-L1,False,True,True,False,G1
Hwang,21,16,3,13,0.1875,3,378,21,Lung,Lung,PD-1/PD-L1,False,False,False,False,G1;G2;G3
Roh,16,15,4,11,0.2667,4,716,16,Melanoma,Melanoma,CTLA4,False,False,False,False,G1;G2;G3
Shiuan,15,13,6,7,0.4615,6,16870,0,Kidney,Kidney,PD-1/PD-L1,False,True,True,False,G1
