"cohort","assay","n_samples","n_genes","n_response_labeled","n_responder","n_nonresponder","minority_class","n_with_os","cancer_type","primary_cancer_type","treatment"
"Mariathasan","expr",348,23005,235,68,167,68,348,"Bladder|Kidney|Liver|Lung|Lymph_node|Unknown|Ureteral","Bladder","PD-1/PD-L1"
"Braun","expr",181,40994,142,39,103,39,181,"Kidney","Kidney","PD-1/PD-L1"
"Liu","expr",121,20212,112,52,60,52,121,"Melanoma","Melanoma","Combo|PD-1/PD-L1"
"Jerby_Arnon","expr",112,587,96,43,53,43,0,"Melanoma","Melanoma","PD-1/PD-L1"
"Limagne1","expr_gene_tpm",70,60308,69,17,52,17,0,"Lung","Lung","anti-PD-1"
"Puch","expr",55,18789,49,14,35,14,0,"Melanoma","Melanoma","PD-1/PD-L1"
"Van_Allen","expr",42,55765,39,9,30,9,42,"Melanoma","Melanoma","CTLA4"
"Gide","expr_gene_tpm",41,60308,38,19,19,19,41,"Melanoma","Melanoma","PD-1/PD-L1"
"VanDenEnde","expr",35,29148,32,12,20,12,0,"Esophageal","Esophageal","PD-1/PD-L1"
"Kim","expr_gene_tpm",45,60308,31,13,18,13,0,"Gastric","Gastric","PD-1/PD-L1"
"Riaz","expr_gene_tpm",46,60308,30,9,21,9,46,"Melanoma","Melanoma","Combo|PD-1/PD-L1"
"Miao1","expr",33,55765,28,10,18,10,33,"Kidney","Kidney","PD-1/PD-L1"
"Hugo","expr_gene_tpm",27,60308,27,14,13,13,26,"Melanoma","Melanoma","PD-1/PD-L1"
"Jung","expr_gene_tpm",27,60308,27,8,19,8,0,"Lung","Lung","PD-1/PD-L1"
"Nathanson","expr",24,51339,24,10,14,10,24,"Melanoma","Melanoma","CTLA4"
"Padron","expr",45,21366,23,3,20,3,45,"Pancreas","Pancreas","PD-1/PD-L1"
"Limagne2","expr_gene_tpm",26,60308,22,6,16,6,0,"Lung","Lung","anti-PD-1/anti-PD-L1"
"Snyder","expr",25,34812,18,8,10,8,25,"Ureteral","Ureteral","PD-1/PD-L1"
"Hwang","expr",21,384,16,3,13,3,21,"Lung","Lung","PD-1/PD-L1"
"Roh","expr",16,721,15,4,11,4,16,"Melanoma","Melanoma","CTLA4"
"Shiuan","expr",15,17235,13,6,7,6,0,"Kidney","Kidney","PD-1/PD-L1"
