cohort,sample_id,immune_score,stromal_score,estimate_score,tumor_purity,n_immune_genes_covered,n_stromal_genes_covered
Mariathasan,P10255,0.1730322486563293,0.1292795822531349,0.30231183090946423,0.7572163148428993,140,138
Mariathasan,P10101,0.15203199452901775,0.0804703713949532,0.23250236592397094,0.8155659021964138,140,138
Mariathasan,P10230,0.17694045218938562,0.04028712591861949,0.2172275781080051,0.8273762658255231,140,138
Mariathasan,P10264,0.22040559709350818,0.10861656373561432,0.3290221608291225,0.7330667000791438,140,138
Mariathasan,P10150,0.19556329187345192,0.012065093188632223,0.20762838506208414,0.8346169792589799,140,138
Mariathasan,P10220,0.2368544773967005,0.13262033962849726,0.3694748170251978,0.6946718901434163,140,138
Mariathasan,P10375,0.0014015008655978592,-0.093333202778641,-0.09193170191304315,0.9843520561779971,140,138
Mariathasan,P10175,0.19792364540718055,0.05010493322028775,0.2480285786274683,0.8032025749752995,140,138
Mariathasan,P10073,0.2396038069729935,0.17600053293282442,0.4156043399058179,0.6483454914174596,140,138
Mariathasan,P10142,0.16398801980264235,0.07368748394116896,0.2376755037438113,0.8114864905915934,140,138
Mariathasan,P10037,0.11460933894230882,0.010107753489976072,0.12471709243228489,0.8911482574015404,140,138
Mariathasan,P10172,0.16065679445824346,0.043863320821135504,0.20452011527937897,0.8369313093767212,140,138
Mariathasan,P10177,0.07453134846125782,-0.03824428075585296,0.03628706770540486,0.9390258287991817,140,138
Mariathasan,P10161,0.20406615781827322,0.05076375904048404,0.2548299168587573,0.7976742831729366,140,138
Mariathasan,P10061,0.1138572262134137,0.08322802142763888,0.19708524764105256,0.84240670573769,140,138
Mariathasan,P10014,0.16880713502189473,0.06635101609423616,0.2351581511161309,0.8134766147792704,140,138
Mariathasan,P10282,0.23014175537037967,0.07272695505662057,0.30286871042700025,0.756722854342659,140,138
Mariathasan,P10141,0.2794370194010209,0.19280371233585378,0.47224073173687464,0.5880185754430828,140,138
Mariathasan,P10222,0.2646191840628523,0.0771009017546637,0.341720085817516,0.7212468885963803,140,138
Mariathasan,P10089,0.2491384150039771,0.13956309968774855,0.38870151469172565,0.6756832365260227,140,138
Mariathasan,P10043,0.1796678626163491,0.19038826994502284,0.37005613256137193,0.6941046301747906,140,138
Mariathasan,P10362,0.10503148470188117,0.0014013761989938025,0.10643286090087498,0.9021227652510591,140,138
Mariathasan,P10156,0.13955408485154167,0.08145639579426758,0.22101048064580925,0.8244842269641028,140,138
Mariathasan,P10103,0.2046903009463854,0.14320651781770025,0.3478968187640856,0.7154197721495746,140,138
Mariathasan,P10059,0.20740219964361975,0.136553904520015,0.34395610416363476,0.71914325570264,140,138
Mariathasan,P10291,0.19150574563807837,0.11945312209459484,0.3109588677326732,0.7495054976524714,140,138
Mariathasan,P10079,0.1590983464841479,0.09902074256701522,0.2581190890511631,0.7949763937629739,140,138
Mariathasan,P10135,0.16552348485453505,0.07022029064239961,0.23574377549693465,0.8130144874793498,140,138
Mariathasan,P10193,0.14789889999710223,0.04686360038652161,0.19476250038362386,0.8440997605347608,140,138
Mariathasan,P10081,0.012611289307244698,-0.062416932519380734,-0.049805643212136035,0.9726855934662392,140,138
Mariathasan,P10234,0.12136514105430211,0.03517591367957179,0.15654105473387392,0.8707446025769044,140,138
Mariathasan,P10041,0.07306780382369095,0.004695667583277244,0.0777634714069682,0.9182116671009657,140,138
Mariathasan,P10281,0.1804922132313784,0.10206820278305573,0.28256041601443416,0.7744370422041686,140,138
Mariathasan,P10330,0.25266436685182464,0.16637530782573087,0.41903967467755554,0.6447917234497962,140,138
Mariathasan,P10088,0.28564058863936054,0.19893370044869227,0.4845742890880528,0.5744089615167969,140,138
Mariathasan,P10308,0.1025198431756252,-0.008063633362920614,0.09445620981270458,0.9090111628368713,140,138
Mariathasan,P10293,0.305192626669276,0.14940096227102403,0.4545935889403,0.6072045503904852,140,138
Mariathasan,P10132,0.22284430269144426,0.159131246348667,0.3819755490401112,0.6823788276643212,140,138
Mariathasan,P10015,0.17442250980646296,0.04033399538073886,0.21475650518720182,0.8292536559286232,140,138
Mariathasan,P10345,0.2834007853829344,0.12408234028512367,0.40748312566805805,0.6566905980375406,140,138
Mariathasan,P10112,0.1419476134697674,-0.08460727689239622,0.05734033657737117,0.928827856649812,140,138
Mariathasan,P10317,0.20872149622921846,0.1442790035664612,0.35300049979567966,0.7105670826484313,140,138
Mariathasan,P10100,0.11868241947328152,0.01628932619554413,0.13497174566882564,0.8847530132258992,140,138
Mariathasan,P10302,0.0440746238935346,-0.052603717768153105,-0.008529093874618504,0.958176122877067,140,138
Mariathasan,P10320,0.12208248965125398,-0.03854524440012899,0.08353724525112499,0.9150823353774816,140,138
Mariathasan,P10246,0.1785996342357665,0.06434027859811142,0.24293991283387792,0.8072941086002592,140,138
Mariathasan,P10076,0.17099703460700427,0.0734539179541998,0.24445095256120408,0.8060831633814401,140,138
Mariathasan,P10307,0.0908745392891016,0.01218636356642961,0.10306090285553121,0.9040862999584253,140,138
Mariathasan,P10111,0.08602480026647598,0.05596492590645445,0.14198972617293043,0.8802776132039297,140,138
Mariathasan,P10072,0.1503321913530855,0.1571725706422132,0.30750476199529875,0.7525980457931228,140,138
Mariathasan,P10084,0.11429483606736793,0.07884798210221365,0.19314281816958156,0.8452753951027356,140,138
Mariathasan,P10090,0.20979533082831553,0.152552988370177,0.36234831919849253,0.7015908854496894,140,138
Mariathasan,P10118,0.3424259995256745,0.04750715370116784,0.3899331532268423,0.6744510547534314,140,138
Mariathasan,P10305,0.14369898694286287,0.028015364444795025,0.1717143513876579,0.8604431022763468,140,138
Mariathasan,P10359,0.28169399824944635,0.07943883511590973,0.36113283336535607,0.7027644569295934,140,138
Mariathasan,P10211,0.1790038035082242,0.07422223864542005,0.25322604215364425,0.7989840825874505,140,138
Mariathasan,P10166,0.25222013870625215,0.05109096378664729,0.30331110249289944,0.7563305355469512,140,138
Mariathasan,P10301,0.1300164445968933,0.0349973264743662,0.1650137710712595,0.8650374551609945,140,138
Mariathasan,P10363,0.026911958599936666,-0.01707524316055696,0.009836715439379706,0.9507523833630825,140,138
Mariathasan,P10044,0.281730132071112,0.14026396195477936,0.4219940940258914,0.6417242557166989,140,138
Mariathasan,P10102,0.06497656176243749,-0.06036657494458731,0.00460998681785018,0.9529253440297617,140,138
Mariathasan,P10026,0.17078542374307276,-0.0008010014891172513,0.16998442225395552,0.8616360721482129,140,138
Mariathasan,P10070,0.2404993069167891,0.1270373725517069,0.367536679468496,0.6965600448193423,140,138
Mariathasan,P10321,0.1816422395221306,0.08060054988377799,0.2622427894059086,0.7915716591138616,140,138
Mariathasan,P10077,0.23636594803913288,0.1470940833292575,0.38346003136839035,0.6809059116444386,140,138
Mariathasan,P10007,0.15701042693858164,0.007595393850733689,0.16460582078931532,0.865314869700377,140,138
Mariathasan,P10242,0.19067921642021657,0.14316635503185246,0.33384557145206906,0.7286022595029519,140,138
Mariathasan,P10144,0.08384295520935775,0.014212105567180647,0.0980550607765384,0.9069663929899325,140,138
Mariathasan,P10294,0.17961834004460348,0.024366382462759212,0.2039847225073627,0.8373284477323822,140,138
Mariathasan,P10099,0.24002264402630538,0.16601172012895402,0.4060343641552594,0.6581709579188053,140,138
Mariathasan,P10147,0.15097261487385844,0.02183344906002112,0.17280606393387957,0.85968781308618,140,138
Mariathasan,P10273,0.044223553201234146,-0.07296076669760726,-0.028737213496373114,0.965657680362262,140,138
Mariathasan,P10168,0.13637114720388513,-0.021932724018468575,0.11443842318541655,0.8973855495304277,140,138
Mariathasan,P10188,0.21741376705825677,0.06923817234252352,0.28665193940078026,0.7709149713213956,140,138
Mariathasan,P10170,0.2354725936592121,0.12919457664188772,0.36466717030109985,0.6993467126190457,140,138
Mariathasan,P10374,0.06505667840446648,-0.03861654491417553,0.02644013349029095,0.9435333717487471,140,138
Mariathasan,P10299,0.16004465504105592,0.0428905172379577,0.20293517227901361,0.8381056918481616,140,138
Mariathasan,P10354,0.20785810805158678,0.07184553815296603,0.2797036462045528,0.7768820831961896,140,138
Mariathasan,P10104,0.04513012982920551,0.007663266700133757,0.052793396529339266,0.9310947310465049,140,138
Mariathasan,P10221,0.265909169173708,0.23061877797719563,0.49652794715090365,0.5610651879723834,140,138
Mariathasan,P10130,0.10656097783519336,-0.017203528259712855,0.0893574495754805,0.9118710644164678,140,138
Mariathasan,P10194,0.14471703689447424,0.03916056294466064,0.18387759983913488,0.8519219360546988,140,138
Mariathasan,P10224,0.15719822202994502,0.07360623334490546,0.23080445537485048,0.8168960949314196,140,138
Mariathasan,P10207,0.20093100671089698,0.143059021893415,0.34399002860431194,0.7191112888217657,140,138
Mariathasan,P10272,0.07490702825959708,-0.024766657529848825,0.05014037072974825,0.9324010482417366,140,138
Mariathasan,P10068,0.14417821386058916,0.005276715701464496,0.14945492956205364,0.8754295181982311,140,138
Mariathasan,P10249,0.1545997292977552,0.15499287782185828,0.30959260711961345,0.750730714854576,140,138
Mariathasan,P10080,0.16675427545836838,0.1239965880030792,0.2907508634614476,0.7673627334927259,140,138
Mariathasan,P10334,0.24051433749176981,0.13470851321625804,0.37522285070802786,0.6890439250036444,140,138
Mariathasan,P10344,0.05891435354086902,-0.040312357254231,0.01860199628663802,0.9470011501322511,140,138
Mariathasan,P10023,0.19612262926258864,0.09129959378637355,0.2874222230489622,0.7702492368894274,140,138
Mariathasan,P10351,0.1510214731111548,0.05849455035221643,0.20951602346337123,0.8332042574307107,140,138
Mariathasan,P10295,0.11000431536412306,0.027364883367280508,0.13736919873140357,0.8832331369198495,140,138
Mariathasan,P10247,0.20179119463392606,0.17020523129061704,0.3719964259245431,0.6922081304874468,140,138
Mariathasan,P10029,0.2352121143588912,0.1600890511321624,0.3953011654910536,0.669058750763216,140,138
Mariathasan,P10160,0.22939703078920082,0.09397691964036306,0.32337395042956385,0.7382546778195169,140,138
Mariathasan,P10289,0.23105209064077953,0.1535983215380779,0.3846504121788574,0.6797228119377828,140,138
Mariathasan,P10105,0.22607523623744535,0.09864045923675817,0.32471569547420354,0.7370261728821319,140,138
Mariathasan,P10060,0.29830186753309196,0.09968930045116019,0.39799116798425216,0.666343223014758,140,138
Mariathasan,P10169,0.1511351706529018,0.023786993680440908,0.1749221643333427,0.8582184484832065,140,138
Mariathasan,P10004,0.22546967045007993,0.048897912372077336,0.2743675828221573,0.7814178364933614,140,138
Mariathasan,P10201,0.17261209239294062,-0.029281539132435513,0.14333055326050512,0.8794134776225737,140,138
Mariathasan,P10304,0.2883665194008678,0.12038279466635461,0.4087493140672224,0.6553947174812197,140,138
Mariathasan,P10270,0.2475547315201345,0.1131710103267729,0.3607257418469074,0.703157083806022,140,138
Mariathasan,P10319,0.19400162586833744,0.04977540202705937,0.24377702789539682,0.8066236641340772,140,138
Mariathasan,P10173,0.21347665600193813,0.19068665964799053,0.4041633156499287,0.6600790553767806,140,138
Mariathasan,P10346,0.14970757833594686,0.16289957591810633,0.31260715425405317,0.7480239451723049,140,138
Mariathasan,P10353,0.010897126602021176,-0.06485287728243588,-0.05395575068041471,0.9739765433035164,140,138
Mariathasan,P10204,0.1542382561663603,0.030108524418985653,0.18434678058534595,0.851588586161481,140,138
Mariathasan,P10032,0.1019733889506249,-0.0018658429805521698,0.10010754597007272,0.9057905505039614,140,138
Mariathasan,P10355,0.3014917808675784,0.061699759106332026,0.3631915399739104,0.7007756219715744,140,138
Mariathasan,P10243,0.08875730473361995,0.01755976484446434,0.10631706957808429,0.902190505003153,140,138
Mariathasan,P10238,0.11276478970282552,0.029158180710272756,0.1419229704130983,0.8803205598949208,140,138
Mariathasan,P10182,0.2207888786666001,0.125445231774096,0.3462341104406961,0.7169933216785234,140,138
Mariathasan,P10364,0.2287536695945935,0.19747903592455837,0.4262327055191519,0.6373054806329527,140,138
Mariathasan,P10119,0.15928963916533362,0.10819680866374863,0.26748644782908226,0.7872064953415289,140,138
Mariathasan,P10373,0.2425991819566913,0.10444419800240826,0.34704337995909956,0.7162279021367846,140,138
Mariathasan,P10275,0.2227345683140442,0.08981197057215312,0.3125465388861973,0.7480784951675311,140,138
Mariathasan,P10315,0.03270440203928384,-0.0554537942766371,-0.022749392237353262,0.9635161910694652,140,138
Mariathasan,P10155,0.0755078169520995,-0.019840990023568997,0.055666826928530505,0.9296662952156691,140,138
Mariathasan,P10357,0.21001487862383378,0.11387210314174688,0.3238869817655807,0.7377852334838472,140,138
Mariathasan,P10358,0.11790761652407016,0.08314413609305166,0.20105175261712183,0.8394961999090997,140,138
Mariathasan,P10195,0.18697218842842656,0.10258826809368836,0.28956045652211493,0.7683968198748996,140,138
Mariathasan,P10050,0.026954767770414438,-0.03931801058458525,-0.01236324281417081,0.9596511061642242,140,138
Mariathasan,P10063,0.16927142402796552,0.053166413043919655,0.2224378370718852,0.8233873674455228,140,138
Mariathasan,P10181,0.23722749865410012,0.0948126123457765,0.3320401109998766,0.7302770136351179,140,138
Mariathasan,P10223,0.1607719104336594,-0.006229511953438358,0.15454239848022105,0.872074152139655,140,138
Mariathasan,P10110,0.005785694350932401,0.011913481559423707,0.017699175910356107,0.9473937154194069,140,138
Mariathasan,P10066,0.2670981941591365,0.07773477914365147,0.34483297330278795,0.7183164964592522,140,138
Mariathasan,P10116,0.16842264120402015,0.05415698844730593,0.22257962965132608,0.8232782376864547,140,138
Mariathasan,P10143,0.2593439589464809,0.218513522470564,0.47785748141704487,0.581840873241145,140,138
Mariathasan,P10053,0.1830794654253688,0.0775063731374291,0.2605858385627979,0.79294270191255,140,138
Mariathasan,P10284,0.2278816692970356,0.09891703954395133,0.32679870884098694,0.7351141281158937,140,138
Mariathasan,P10306,0.1062744904163358,0.05293042814431635,0.15920491856065216,0.8689626004116923,140,138
Mariathasan,P10240,0.1465662240187912,0.05314762587493779,0.199713849893729,0.8404806327013653,140,138
Mariathasan,P10028,0.2519321585707263,0.15289779229053674,0.40482995086126305,0.6593997066604335,140,138
Mariathasan,P10343,0.036755072905333426,-0.07651654392748297,-0.039761471022149546,0.9694337886028624,140,138
Mariathasan,P10217,0.2263208122889615,0.07557557612226112,0.3018963884112226,0.7575841643534009,140,138
Mariathasan,P10269,0.06414707148761292,-0.05454137082848997,0.009605700659122952,0.9508494351405135,140,138
Mariathasan,P10259,0.13924401033761868,0.05543416375732374,0.19467817409494242,0.8441610686910653,140,138
Mariathasan,P10123,0.21432508015423163,0.07943662556301646,0.2937617057172481,0.7647383471532522,140,138
Mariathasan,P10312,0.17172423750304003,0.17499945150125013,0.3467236890042902,0.716530373873686,140,138
