"signature","cohort_left_out","pooled_auroc_without"
"APM","Mariathasan",0.616286176120191
"APM","Braun",0.619835602890902
"APM","Liu",0.620170785242287
"APM","Limagne1",0.605069828459813
"APM","Puch",0.602296694313348
"APM","Van_Allen",0.608376680376765
"APM","Gide",0.590068031928422
"APM","Kim",0.605108705711723
"APM","Riaz",0.613665477231358
"APM","Miao1",0.620704766653447
"APM","Hugo",0.609817405566217
"APM","Jung",0.607620505742944
"APM","Nathanson",0.614375909457218
"APM","Limagne2",0.615941000047702
"Antigen_Processing_and_Presentation_Li_et_al","Mariathasan",0.565076664567083
"Antigen_Processing_and_Presentation_Li_et_al","Braun",0.584573967368815
"Antigen_Processing_and_Presentation_Li_et_al","Liu",0.571399881734121
"Antigen_Processing_and_Presentation_Li_et_al","Limagne1",0.561905401194479
"Antigen_Processing_and_Presentation_Li_et_al","Puch",0.557748681717653
"Antigen_Processing_and_Presentation_Li_et_al","Van_Allen",0.57483705134896
"Antigen_Processing_and_Presentation_Li_et_al","Gide",0.552967416195262
"Antigen_Processing_and_Presentation_Li_et_al","VanDenEnde",0.579691940618245
"Antigen_Processing_and_Presentation_Li_et_al","Kim",0.560874212698378
"Antigen_Processing_and_Presentation_Li_et_al","Riaz",0.57129554372855
"Antigen_Processing_and_Presentation_Li_et_al","Miao1",0.578642752045536
"Antigen_Processing_and_Presentation_Li_et_al","Hugo",0.574490876611371
"Antigen_Processing_and_Presentation_Li_et_al","Jung",0.562456669557058
"Antigen_Processing_and_Presentation_Li_et_al","Nathanson",0.567012608089279
"Antigen_Processing_and_Presentation_Li_et_al","Limagne2",0.567921574462137
"Antimicrobials_Li_et_al","Mariathasan",0.54554468232143
"Antimicrobials_Li_et_al","Braun",0.543946363289489
"Antimicrobials_Li_et_al","Liu",0.54413660260689
"Antimicrobials_Li_et_al","Limagne1",0.523495402402417
"Antimicrobials_Li_et_al","Puch",0.525741428781158
"Antimicrobials_Li_et_al","Van_Allen",0.53416453014703
"Antimicrobials_Li_et_al","Gide",0.523561474471944
"Antimicrobials_Li_et_al","VanDenEnde",0.526592396148201
"Antimicrobials_Li_et_al","Kim",0.527447373373045
"Antimicrobials_Li_et_al","Riaz",0.53229221840208
"Antimicrobials_Li_et_al","Miao1",0.532752864130146
"Antimicrobials_Li_et_al","Hugo",0.539292456393
"Antimicrobials_Li_et_al","Jung",0.533918316868511
"Antimicrobials_Li_et_al","Nathanson",0.527312170726126
"Antimicrobials_Li_et_al","Limagne2",0.53020464595367
"BCR_Signaling_Pathway_Li_et_al","Mariathasan",0.549031487598788
"BCR_Signaling_Pathway_Li_et_al","Braun",0.555838998493078
"BCR_Signaling_Pathway_Li_et_al","Liu",0.54303951214856
"BCR_Signaling_Pathway_Li_et_al","Limagne1",0.535405695809541
"BCR_Signaling_Pathway_Li_et_al","Puch",0.531491029026125
"BCR_Signaling_Pathway_Li_et_al","Van_Allen",0.540229303612708
"BCR_Signaling_Pathway_Li_et_al","Gide",0.530842621237309
"BCR_Signaling_Pathway_Li_et_al","Kim",0.544049832971952
"BCR_Signaling_Pathway_Li_et_al","Riaz",0.541476995495358
"BCR_Signaling_Pathway_Li_et_al","Miao1",0.54255885677554
"BCR_Signaling_Pathway_Li_et_al","Hugo",0.548267496434351
"BCR_Signaling_Pathway_Li_et_al","Jung",0.547121922329529
"BCR_Signaling_Pathway_Li_et_al","Nathanson",0.54220805312328
"BCR_Signaling_Pathway_Li_et_al","Limagne2",0.543889330392264
"B_cells_Bindea_et_al","Mariathasan",0.582193135624478
"B_cells_Bindea_et_al","Braun",0.580945953785131
"B_cells_Bindea_et_al","Liu",0.582572007464416
"B_cells_Bindea_et_al","Limagne1",0.576029251243329
"B_cells_Bindea_et_al","Puch",0.55595413160171
"B_cells_Bindea_et_al","Van_Allen",0.568872285917578
"B_cells_Bindea_et_al","Gide",0.55119450115544
"B_cells_Bindea_et_al","Kim",0.581765477621695
"B_cells_Bindea_et_al","Riaz",0.565235633834955
"B_cells_Bindea_et_al","Miao1",0.575897809430249
"B_cells_Bindea_et_al","Hugo",0.580108977226283
"B_cells_Bindea_et_al","Jung",0.578007882895772
"B_cells_Bindea_et_al","Nathanson",0.577765825780329
"B_cells_Bindea_et_al","Limagne2",0.567563337964126
"B_cells_Rooney_et_al","Mariathasan",0.595621468105857
"B_cells_Rooney_et_al","Braun",0.592742833551493
"B_cells_Rooney_et_al","Liu",0.589716446230709
"B_cells_Rooney_et_al","Limagne1",0.586006216536294
"B_cells_Rooney_et_al","Puch",0.565822607586014
"B_cells_Rooney_et_al","Van_Allen",0.576188967258073
"B_cells_Rooney_et_al","Gide",0.562500621372444
"B_cells_Rooney_et_al","Kim",0.588611610669801
"B_cells_Rooney_et_al","Riaz",0.57833789127411
"B_cells_Rooney_et_al","Miao1",0.577348584426464
"B_cells_Rooney_et_al","Hugo",0.589596359315965
"B_cells_Rooney_et_al","Jung",0.581412794945883
"B_cells_Rooney_et_al","Nathanson",0.584532641948628
"B_cells_Rooney_et_al","Limagne2",0.577100504801254
"CAF_Peng_et_al","Mariathasan",0.488139562192651
"CAF_Peng_et_al","Braun",0.499717256685203
"CAF_Peng_et_al","Liu",0.502972637598041
"CAF_Peng_et_al","Limagne1",0.512055475188433
"CAF_Peng_et_al","Puch",0.502124253876039
"CAF_Peng_et_al","Van_Allen",0.500263785564684
"CAF_Peng_et_al","Gide",0.498441795120533
"CAF_Peng_et_al","Kim",0.488746956299325
"CAF_Peng_et_al","Riaz",0.496071939001427
"CAF_Peng_et_al","Miao1",0.504141788226163
"CAF_Peng_et_al","Hugo",0.487994035114801
"CAF_Peng_et_al","Jung",0.491495670064906
"CAF_Peng_et_al","Nathanson",0.494932886307254
"CAF_Peng_et_al","Limagne2",0.501597841640928
"CD8_Rooney_et_al","Mariathasan",0.614309397502608
"CD8_Rooney_et_al","Braun",0.623468554134131
"CD8_Rooney_et_al","Liu",0.621934190759287
"CD8_Rooney_et_al","Limagne1",0.62156543876524
"CD8_Rooney_et_al","Puch",0.603197900225038
"CD8_Rooney_et_al","Van_Allen",0.610654630910384
"CD8_Rooney_et_al","Gide",0.588964933296174
"CD8_Rooney_et_al","Kim",0.602638238856581
"CD8_Rooney_et_al","Riaz",0.607611893225357
"CD8_Rooney_et_al","Miao1",0.619536151170983
"CD8_Rooney_et_al","Hugo",0.620852884911222
"CD8_Rooney_et_al","Jung",0.601209094770091
"CD8_Rooney_et_al","Nathanson",0.611018467577124
"CD8_Rooney_et_al","Limagne2",0.605342556155657
"CD8_T_cells_Bindea_et_al","Mariathasan",0.516312181553217
"CD8_T_cells_Bindea_et_al","Braun",0.533849886241751
"CD8_T_cells_Bindea_et_al","Liu",0.527705492103096
"CD8_T_cells_Bindea_et_al","Limagne1",0.514690316684969
"CD8_T_cells_Bindea_et_al","Puch",0.514168243115888
"CD8_T_cells_Bindea_et_al","Van_Allen",0.518353266306038
"CD8_T_cells_Bindea_et_al","Gide",0.509993641752307
"CD8_T_cells_Bindea_et_al","Kim",0.520370212329164
"CD8_T_cells_Bindea_et_al","Riaz",0.519805762320767
"CD8_T_cells_Bindea_et_al","Miao1",0.522356242786557
"CD8_T_cells_Bindea_et_al","Hugo",0.524382944309384
"CD8_T_cells_Bindea_et_al","Jung",0.520845235272232
"CD8_T_cells_Bindea_et_al","Nathanson",0.514642778691914
"CD8_T_cells_Bindea_et_al","Limagne2",0.517240161031501
"CD_8_T_effector","Mariathasan",0.626549067609707
"CD_8_T_effector","Braun",0.63497323488382
"CD_8_T_effector","Liu",0.635388386281532
"CD_8_T_effector","Limagne1",0.632217407127229
"CD_8_T_effector","Puch",0.618113201974702
"CD_8_T_effector","Van_Allen",0.625536212936398
"CD_8_T_effector","Gide",0.603760488595013
"CD_8_T_effector","Kim",0.615149598453734
"CD_8_T_effector","Riaz",0.620592318233038
"CD_8_T_effector","Miao1",0.632590166837345
"CD_8_T_effector","Hugo",0.633561942603645
"CD_8_T_effector","Jung",0.614857201254822
"CD_8_T_effector","Nathanson",0.624991916035186
"CD_8_T_effector","Limagne2",0.618423209407569
"CellCycle_Reg","Mariathasan",0.468411220039856
"CellCycle_Reg","Braun",0.448485193731796
"CellCycle_Reg","Liu",0.464543261493425
"CellCycle_Reg","Limagne1",0.468078975312607
"CellCycle_Reg","Puch",0.473487911981694
"CellCycle_Reg","Van_Allen",0.467832301398748
"CellCycle_Reg","Gide",0.474295976625235
"CellCycle_Reg","Kim",0.465019217202079
"CellCycle_Reg","Riaz",0.459837751186246
"CellCycle_Reg","Miao1",0.46363230949459
"CellCycle_Reg","Hugo",0.463807123817147
"CellCycle_Reg","Jung",0.45826159587175
"CellCycle_Reg","Nathanson",0.466008084908529
"CellCycle_Reg","Limagne2",0.464217845664647
"Cell_cycle","Mariathasan",0.477623477749418
"Cell_cycle","Braun",0.440620006954247
"Cell_cycle","Liu",0.458216201025839
"Cell_cycle","Limagne1",0.467212611210557
"Cell_cycle","Puch",0.467952998456814
"Cell_cycle","Van_Allen",0.467366626602569
"Cell_cycle","Gide",0.466942107825278
"Cell_cycle","VanDenEnde",0.463483195400691
"Cell_cycle","Kim",0.462280413059877
"Cell_cycle","Riaz",0.457331690140069
"Cell_cycle","Miao1",0.45675941005863
"Cell_cycle","Hugo",0.455212678588141
"Cell_cycle","Jung",0.455632213470935
"Cell_cycle","Nathanson",0.462865572658015
"Cell_cycle","Limagne2",0.459699629102619
"Chemokine12_Messina","Mariathasan",0.627024356266118
"Chemokine12_Messina","Braun",0.634059172164134
"Chemokine12_Messina","Liu",0.627684638888908
"Chemokine12_Messina","Limagne1",0.614943807027846
"Chemokine12_Messina","Puch",0.610514245318914
"Chemokine12_Messina","Van_Allen",0.618888195301588
"Chemokine12_Messina","Gide",0.602203030989652
"Chemokine12_Messina","Kim",0.611306426701435
"Chemokine12_Messina","Riaz",0.619538851585573
"Chemokine12_Messina","Miao1",0.631159317112948
"Chemokine12_Messina","Hugo",0.63191922524295
"Chemokine12_Messina","Jung",0.611264970923165
"Chemokine12_Messina","Nathanson",0.622361155549024
"Chemokine12_Messina","Limagne2",0.615818369434083
"Chemokine_Receptors_Li_et_al","Mariathasan",0.548436988559332
"Chemokine_Receptors_Li_et_al","Braun",0.546725620839868
"Chemokine_Receptors_Li_et_al","Liu",0.544598399707815
"Chemokine_Receptors_Li_et_al","Limagne1",0.524811526778797
"Chemokine_Receptors_Li_et_al","Puch",0.524075594739385
"Chemokine_Receptors_Li_et_al","Van_Allen",0.529244362636335
"Chemokine_Receptors_Li_et_al","Gide",0.521589523904566
"Chemokine_Receptors_Li_et_al","VanDenEnde",0.539012465165841
"Chemokine_Receptors_Li_et_al","Kim",0.536306624590619
"Chemokine_Receptors_Li_et_al","Riaz",0.529214504469668
"Chemokine_Receptors_Li_et_al","Miao1",0.527389761861953
"Chemokine_Receptors_Li_et_al","Hugo",0.54161347221621
"Chemokine_Receptors_Li_et_al","Jung",0.533310682369208
"Chemokine_Receptors_Li_et_al","Nathanson",0.527156395661594
"Chemokine_Receptors_Li_et_al","Limagne2",0.533631624609601
"Chemokines_Li_et_al","Mariathasan",0.541735236993312
"Chemokines_Li_et_al","Braun",0.534493252255455
"Chemokines_Li_et_al","Liu",0.538507745886353
"Chemokines_Li_et_al","Limagne1",0.524015688532051
"Chemokines_Li_et_al","Puch",0.528604997535634
"Chemokines_Li_et_al","Van_Allen",0.529809682382469
"Chemokines_Li_et_al","Gide",0.522572599323878
"Chemokines_Li_et_al","VanDenEnde",0.524056266553016
"Chemokines_Li_et_al","Kim",0.529032322269716
"Chemokines_Li_et_al","Riaz",0.529053915174815
"Chemokines_Li_et_al","Miao1",0.53111274020965
"Chemokines_Li_et_al","Hugo",0.536670382381746
"Chemokines_Li_et_al","Jung",0.530977631761687
"Chemokines_Li_et_al","Nathanson",0.527156797153314
"Chemokines_Li_et_al","Limagne2",0.527518653622526
"Co_inhibition_APC_Rooney_et_al","Mariathasan",0.579975535505556
"Co_inhibition_APC_Rooney_et_al","Braun",0.58735404358684
"Co_inhibition_APC_Rooney_et_al","Liu",0.582645918972733
"Co_inhibition_APC_Rooney_et_al","Limagne1",0.574789236713982
"Co_inhibition_APC_Rooney_et_al","Puch",0.568967928153353
"Co_inhibition_APC_Rooney_et_al","Van_Allen",0.571534208781814
"Co_inhibition_APC_Rooney_et_al","Gide",0.5628755691475
"Co_inhibition_APC_Rooney_et_al","Kim",0.56608088941159
"Co_inhibition_APC_Rooney_et_al","Riaz",0.572646098432404
"Co_inhibition_APC_Rooney_et_al","Miao1",0.57864418543971
"Co_inhibition_APC_Rooney_et_al","Hugo",0.572890238670502
"Co_inhibition_APC_Rooney_et_al","Jung",0.568229262501088
"Co_inhibition_APC_Rooney_et_al","Nathanson",0.571764534915208
"Co_inhibition_APC_Rooney_et_al","Limagne2",0.571470541162179
"Co_inhibition_T_cell_Rooney_et_al","Mariathasan",0.620747919417006
"Co_inhibition_T_cell_Rooney_et_al","Braun",0.625835630428734
"Co_inhibition_T_cell_Rooney_et_al","Liu",0.621725711107145
"Co_inhibition_T_cell_Rooney_et_al","Limagne1",0.62111910495881
"Co_inhibition_T_cell_Rooney_et_al","Puch",0.605073961866441
"Co_inhibition_T_cell_Rooney_et_al","Van_Allen",0.615019830962655
"Co_inhibition_T_cell_Rooney_et_al","Gide",0.584241281896346
"Co_inhibition_T_cell_Rooney_et_al","Kim",0.590288247694491
"Co_inhibition_T_cell_Rooney_et_al","Riaz",0.606260198333208
"Co_inhibition_T_cell_Rooney_et_al","Miao1",0.621963021026448
"Co_inhibition_T_cell_Rooney_et_al","Hugo",0.623319929130519
"Co_inhibition_T_cell_Rooney_et_al","Jung",0.599519813721378
"Co_inhibition_T_cell_Rooney_et_al","Nathanson",0.613972960156789
"Co_inhibition_T_cell_Rooney_et_al","Limagne2",0.604951680994182
"Co_stimulation_APC_Rooney_et_al","Mariathasan",0.530316836250015
"Co_stimulation_APC_Rooney_et_al","Braun",0.526745947421019
"Co_stimulation_APC_Rooney_et_al","Liu",0.528022181711143
"Co_stimulation_APC_Rooney_et_al","Limagne1",0.520436645212478
"Co_stimulation_APC_Rooney_et_al","Puch",0.50817416325401
"Co_stimulation_APC_Rooney_et_al","Van_Allen",0.515408264636067
"Co_stimulation_APC_Rooney_et_al","Gide",0.507333546833388
"Co_stimulation_APC_Rooney_et_al","Kim",0.507208016480167
"Co_stimulation_APC_Rooney_et_al","Riaz",0.51143074289613
"Co_stimulation_APC_Rooney_et_al","Miao1",0.518719956746336
"Co_stimulation_APC_Rooney_et_al","Hugo",0.521938318393775
"Co_stimulation_APC_Rooney_et_al","Jung",0.511027365042192
"Co_stimulation_APC_Rooney_et_al","Nathanson",0.513540353765352
"Co_stimulation_APC_Rooney_et_al","Limagne2",0.516236505378844
"Co_stimulation_T_cell_Rooney_et_al","Mariathasan",0.593782493377378
"Co_stimulation_T_cell_Rooney_et_al","Braun",0.592009089919813
"Co_stimulation_T_cell_Rooney_et_al","Liu",0.588490311269347
"Co_stimulation_T_cell_Rooney_et_al","Limagne1",0.576973108912653
"Co_stimulation_T_cell_Rooney_et_al","Puch",0.572311482479593
"Co_stimulation_T_cell_Rooney_et_al","Van_Allen",0.583500373353942
"Co_stimulation_T_cell_Rooney_et_al","Gide",0.560311887972152
"Co_stimulation_T_cell_Rooney_et_al","Kim",0.569659246792688
"Co_stimulation_T_cell_Rooney_et_al","Riaz",0.576097441050166
"Co_stimulation_T_cell_Rooney_et_al","Miao1",0.579331727643133
"Co_stimulation_T_cell_Rooney_et_al","Hugo",0.589321680290647
"Co_stimulation_T_cell_Rooney_et_al","Jung",0.572747082564107
"Co_stimulation_T_cell_Rooney_et_al","Nathanson",0.582670809924375
"Co_stimulation_T_cell_Rooney_et_al","Limagne2",0.574945221155334
"Cytokine_Receptors_Li_et_al","Mariathasan",0.505195341545875
"Cytokine_Receptors_Li_et_al","Braun",0.502852568636597
"Cytokine_Receptors_Li_et_al","Liu",0.500559000339047
"Cytokine_Receptors_Li_et_al","Limagne1",0.487146732480553
"Cytokine_Receptors_Li_et_al","Puch",0.490487569398144
"Cytokine_Receptors_Li_et_al","Van_Allen",0.495692554868007
"Cytokine_Receptors_Li_et_al","Gide",0.490096863190421
"Cytokine_Receptors_Li_et_al","VanDenEnde",0.495316041040994
"Cytokine_Receptors_Li_et_al","Kim",0.500670554650044
"Cytokine_Receptors_Li_et_al","Riaz",0.494045784879526
"Cytokine_Receptors_Li_et_al","Miao1",0.493464257110398
"Cytokine_Receptors_Li_et_al","Hugo",0.501869190806684
"Cytokine_Receptors_Li_et_al","Jung",0.498083821108949
"Cytokine_Receptors_Li_et_al","Nathanson",0.491780310954862
"Cytokine_Receptors_Li_et_al","Limagne2",0.495653559729603
"Cytokines_Li_et_al","Mariathasan",0.495413914453383
"Cytokines_Li_et_al","Braun",0.499483953183423
"Cytokines_Li_et_al","Liu",0.502430012347103
"Cytokines_Li_et_al","Limagne1",0.487899207602979
"Cytokines_Li_et_al","Puch",0.490063957151944
"Cytokines_Li_et_al","Van_Allen",0.496721391969553
"Cytokines_Li_et_al","Gide",0.488209052058757
"Cytokines_Li_et_al","VanDenEnde",0.491864644952341
"Cytokines_Li_et_al","Kim",0.494713417186572
"Cytokines_Li_et_al","Riaz",0.492755440385312
"Cytokines_Li_et_al","Miao1",0.490332513452952
"Cytokines_Li_et_al","Hugo",0.500975428352195
"Cytokines_Li_et_al","Jung",0.496158345915335
"Cytokines_Li_et_al","Nathanson",0.492219484919856
"Cytokines_Li_et_al","Limagne2",0.491234108549146
"Cytolytic_Activity_Rooney_et_al","Mariathasan",0.616405999572902
"Cytolytic_Activity_Rooney_et_al","Braun",0.61956635358521
"Cytolytic_Activity_Rooney_et_al","Liu",0.619854286896881
"Cytolytic_Activity_Rooney_et_al","Limagne1",0.619138976747042
"Cytolytic_Activity_Rooney_et_al","Puch",0.594905159883336
"Cytolytic_Activity_Rooney_et_al","Van_Allen",0.608109964033667
"Cytolytic_Activity_Rooney_et_al","Gide",0.586267038499584
"Cytolytic_Activity_Rooney_et_al","Kim",0.603916263606589
"Cytolytic_Activity_Rooney_et_al","Riaz",0.603315215393512
"Cytolytic_Activity_Rooney_et_al","Miao1",0.617173241648984
"Cytolytic_Activity_Rooney_et_al","Hugo",0.619018528087732
"Cytolytic_Activity_Rooney_et_al","Jung",0.604235744621341
"Cytolytic_Activity_Rooney_et_al","Nathanson",0.61081138259002
"Cytolytic_Activity_Rooney_et_al","Limagne2",0.601306622189407
"Cytotoxic_cells_Bindea_et_al","Mariathasan",0.590713085598225
"Cytotoxic_cells_Bindea_et_al","Braun",0.598223251646622
"Cytotoxic_cells_Bindea_et_al","Liu",0.598739544223993
"Cytotoxic_cells_Bindea_et_al","Limagne1",0.580973220767592
"Cytotoxic_cells_Bindea_et_al","Puch",0.584758636602315
"Cytotoxic_cells_Bindea_et_al","Van_Allen",0.583886848871841
"Cytotoxic_cells_Bindea_et_al","Gide",0.568477651700664
"Cytotoxic_cells_Bindea_et_al","Kim",0.583363797123404
"Cytotoxic_cells_Bindea_et_al","Riaz",0.583541428286332
"Cytotoxic_cells_Bindea_et_al","Miao1",0.595571418893459
"Cytotoxic_cells_Bindea_et_al","Hugo",0.595645105879957
"Cytotoxic_cells_Bindea_et_al","Jung",0.582594059030075
"Cytotoxic_cells_Bindea_et_al","Nathanson",0.587208601821685
"Cytotoxic_cells_Bindea_et_al","Limagne2",0.578529943192422
"DC_Bindea_et_al","Mariathasan",0.528036760831705
"DC_Bindea_et_al","Braun",NA
"DC_Bindea_et_al","Liu",0.5002705708789
"DC_Bindea_et_al","Limagne1",0.502398588316714
"DC_Bindea_et_al","Puch",0.513851150345751
"DC_Bindea_et_al","Van_Allen",0.506743438027641
"DC_Bindea_et_al","Gide",0.505004341888812
"DC_Bindea_et_al","Kim",0.511643756120074
"DC_Bindea_et_al","Riaz",0.513114729055823
"DC_Bindea_et_al","Miao1",0.510277785983344
"DC_Bindea_et_al","Hugo",0.515798863326631
"DC_Bindea_et_al","Jung",0.513168142664904
"DC_Bindea_et_al","Nathanson",0.512722206010405
"DC_Bindea_et_al","Limagne2",0.50938532075985
"EMT1","Mariathasan",0.537488412756361
"EMT1","Braun",0.52348836307403
"EMT1","Liu",0.524982631315449
"EMT1","Limagne1",0.548299743338816
"EMT1","Puch",0.538463743922923
"EMT1","Van_Allen",0.53336968411035
"EMT1","Gide",0.533164427893135
"EMT1","Kim",0.532539942358856
"EMT1","Riaz",0.528775147479006
"EMT1","Miao1",0.537236798530321
"EMT1","Hugo",0.530122062472367
"EMT1","Jung",0.533159582915005
"EMT1","Nathanson",0.539719362209741
"EMT1","Limagne2",0.533324252965216
"EMT2","Mariathasan",0.513308068686663
"EMT2","Braun",0.523809743611353
"EMT2","Liu",0.520047618008066
"EMT2","Limagne1",0.53335745088914
"EMT2","Puch",0.517676965883272
"EMT2","Van_Allen",0.525032979226227
"EMT2","Gide",0.519932052411513
"EMT2","Kim",0.510382784631961
"EMT2","Riaz",0.521912661767864
"EMT2","Miao1",0.529914135848223
"EMT2","Hugo",0.510051054127174
"EMT2","Jung",0.514213984580863
"EMT2","Nathanson",0.518785402662318
"EMT2","Limagne2",0.522193906502401
"EMT3","Mariathasan",0.541655822589581
"EMT3","Braun",0.544266549477485
"EMT3","Liu",0.538409113543169
"EMT3","Limagne1",0.555494551700497
"EMT3","Puch",0.548350760228195
"EMT3","Van_Allen",0.54665863870298
"EMT3","Gide",0.553647054024388
"EMT3","Kim",0.54091256800179
"EMT3","Riaz",0.55420820059911
"EMT3","Miao1",0.554508179470415
"EMT3","Hugo",0.541425845898948
"EMT3","Jung",0.543253102623312
"EMT3","Nathanson",0.55368385724006
"EMT3","Limagne2",0.552706008318755
"EV_Cell_2020","Mariathasan",0.520488583967866
"EV_Cell_2020","Braun",0.532989387166107
"EV_Cell_2020","Liu",0.524851477023734
"EV_Cell_2020","Limagne1",0.515282918862434
"EV_Cell_2020","Puch",0.513711584744956
"EV_Cell_2020","Van_Allen",0.518378262976119
"EV_Cell_2020","Gide",0.515408015078373
"EV_Cell_2020","Kim",0.522652822088608
"EV_Cell_2020","Riaz",0.524898016732091
"EV_Cell_2020","Miao1",0.526564392478525
"EV_Cell_2020","Hugo",0.524774673262129
"EV_Cell_2020","Jung",0.525591622591655
"EV_Cell_2020","Nathanson",0.519680288101874
"EV_Cell_2020","Limagne2",0.522424778098349
"Eosinophils_Bindea_et_al","Mariathasan",0.478619985669321
"Eosinophils_Bindea_et_al","Braun",0.492024438268392
"Eosinophils_Bindea_et_al","Liu",0.481365396378606
"Eosinophils_Bindea_et_al","Limagne1",0.477054388715047
"Eosinophils_Bindea_et_al","Puch",0.487375465583475
"Eosinophils_Bindea_et_al","Van_Allen",0.480515213153976
"Eosinophils_Bindea_et_al","Gide",0.475285048947932
"Eosinophils_Bindea_et_al","Kim",0.488579229858655
"Eosinophils_Bindea_et_al","Riaz",0.483664887920501
"Eosinophils_Bindea_et_al","Miao1",0.483218384666896
"Eosinophils_Bindea_et_al","Hugo",0.4869561305198
"Eosinophils_Bindea_et_al","Jung",0.486456761858215
"Eosinophils_Bindea_et_al","Nathanson",0.479293706915928
"Eosinophils_Bindea_et_al","Limagne2",0.486862093362522
"Exhausted_CD8_Danaher_et_al","Mariathasan",0.37347142623389
"Exhausted_CD8_Danaher_et_al","Braun",0.371842610517766
"Exhausted_CD8_Danaher_et_al","Liu",0.370614393440779
"Exhausted_CD8_Danaher_et_al","Limagne1",0.381771299874768
"Exhausted_CD8_Danaher_et_al","Puch",0.376212938312652
"Exhausted_CD8_Danaher_et_al","Van_Allen",0.387674856238792
"Exhausted_CD8_Danaher_et_al","Gide",0.406579562861022
"Exhausted_CD8_Danaher_et_al","Kim",0.402417189860132
