"signature","collection","k","pooled_auroc","ci_low","ci_high","pi_low","pi_high","tau2","I2","QEp","p_vs_half","ci_excludes_half","loco_min","loco_max"
"IFNG_6gene_Ayers","canonical",14,0.62677591142392,0.549818800726921,0.697808023467598,0.417788979940559,0.797166257253789,0.13316980347848,51.5437509745382,0.0196979734589289,0.00379098394459016,TRUE,0.606682959499965,0.641922675938468
"Chemokine12_Messina","canonical",15,0.624618383827244,0.554808950491888,0.689605397087157,0.436483666413988,0.781399523163929,0.108935070464258,46.0235324490281,0.0397101840988755,0.0020376425307398,TRUE,0.608443645980207,0.63770284638438
"TLS_12chemokine_Prabhakaran","canonical",15,0.624618383827244,0.554808950491888,0.689605397087157,0.436483666413988,0.781399523163929,0.108935070464258,46.0235324490281,0.0397101840988755,0.0020376425307398,TRUE,0.608443645980207,0.63770284638438
"CD_8_T_effector","iobr",14,0.623892927566484,0.555511445917877,0.687669168133238,0.458717176334817,0.764537221120998,0.0794686977555814,38.9821885445605,0.07265672409803,0.00196387957008217,TRUE,0.603760488595013,0.635388386281532
"MHC_Class_I_Rooney_et_al","iobr",14,0.623489430563819,0.547945817438609,0.693470993470428,0.422556752749741,0.789357640971666,0.122043864855262,49.5200414502528,0.0289908918106895,0.00397173702789206,TRUE,0.603234718846433,0.638382423288471
"Roh_immune","canonical",14,0.614963326206841,0.541676274687126,0.683381417718603,0.425561334718042,0.774942400882696,0.107015924112512,46.5579436005379,0.042901635577287,0.00512994337808376,TRUE,0.591523093886867,0.628869737759265
"T_cell_inflamed_GEP_Ayers_et_al","canonical",15,0.614401743661718,0.53706996572362,0.686359369432223,0.40642021417545,0.787595132563885,0.133199426221519,51.1876746963447,0.0192307328017284,0.00710682225432724,TRUE,0.590337971251968,0.628330992107669
"TMEscoreA_CIR","iobr",15,0.612725804052056,0.538796741884176,0.681802898897101,0.406878943615874,0.784899777298656,0.131813844886913,51.0024780910542,0.0165880711508095,0.00587716304518172,TRUE,0.592621095614172,0.627996723781682
"CD8_Rooney_et_al","iobr",14,0.610729802202891,0.540034854800038,0.67705684390165,0.434505822988573,0.762104563442751,0.0911836817473528,42.7144728885982,0.0562692446676346,0.00515770197674787,TRUE,0.588964933296174,0.623468554134131
"Cytolytic_Activity_Rooney_et_al","canonical",14,0.608776204351114,0.54141239222628,0.672235198403772,0.461399404528094,0.73866707499755,0.0599960820893374,32.8564483388555,0.100601182309568,0.00423197001599409,TRUE,0.586267038499584,0.619854286896881
"Co_inhibition_T_cell_Rooney_et_al","iobr",14,0.606737404737952,0.526251774037171,0.681816714225747,0.398511791957779,0.782263644715208,0.129969017378828,51.5898789813321,0.0214011545450586,0.0136164773431474,TRUE,0.583315259421471,0.62059283965597
"APM","iobr",15,0.603148823787083,0.541288286354373,0.661878160532761,0.465553977880105,0.726156335935529,0.0534256290748355,30.0286441840664,0.123432338964639,0.00321588802266618,TRUE,0.584542751563752,0.613400585689566
"Immune_Checkpoint","iobr",14,0.602697146788999,0.522799466262794,0.677470370576675,0.389775330793511,0.782737087555306,0.137610965220629,53.1641948945802,0.0163774402083621,0.0160348629761834,TRUE,0.578724981675485,0.615497623987059
"MHC_I","canonical",15,0.597087825605327,0.539235733844632,0.652359057781023,0.490656024840105,0.695099914686298,0.0282148283746175,18.5660439291012,0.181814715579196,0.00305467179461481,TRUE,0.580106838225886,0.607535290276781
"T_cells_Bindea_et_al","iobr",14,0.595468786248495,0.55025588354434,0.639117413126061,0.529565458108003,0.658100357594731,0.00808801125757434,6.3227513384866,0.572430711154798,0.000579125185841887,TRUE,0.58431477028342,0.611998973793495
