signature,collection,n_cohorts,mean_observed_auroc,mean_null_auroc,mean_advantage,n_cohorts_beating_null,frac_cohorts_beating_null,stouffer_z,stouffer_p,fdr_q,beats_null_fdr05
CD_8_T_effector,iobr,14,0.6467853797762615,0.4926096482671318,0.15417573150912964,8,0.5714285714285714,7.084046334203213,7.000253143578915e-13,6.4911438240459024e-12,True
TLS_12chemokine_Prabhakaran,canonical,15,0.6394381069087467,0.49062987390444157,0.14880823300430499,10,0.6666666666666666,7.6895205041395815,7.384373333062244e-15,1.076008685674784e-13,True
Chemokine12_Messina,canonical,15,0.6394381069087467,0.49172342414509357,0.14771468276365304,10,0.6666666666666666,7.57323260053272,1.820248107850211e-14,2.320816337509019e-13,True
IFNG_6gene_Ayers,canonical,14,0.6380503466161811,0.49237186391003057,0.14567848270615052,7,0.5,6.536979303815162,3.1386865632095274e-11,2.6678835787280983e-10,True
CD8_Rooney_et_al,iobr,14,0.6343712185130995,0.49333640471042867,0.14103481380267074,8,0.5714285714285714,5.831078416024269,2.753514777630875e-09,1.478202670096575e-08,True
Cytolytic_Activity_Rooney_et_al,canonical,14,0.6335583006431612,0.4947234385890031,0.1388348620541581,6,0.42857142857142855,5.322687809936424,5.1122566351347805e-08,2.1727090699322818e-07,True
Roh_immune,canonical,14,0.6302665158894828,0.4898502627030222,0.1404162531864605,11,0.7857142857142857,9.931850084962962,1.5129418607790765e-23,3.858001744986645e-22,True
Co_inhibition_T_cell_Rooney_et_al,iobr,14,0.6295674950183056,0.4910015668015674,0.13856592821673833,7,0.5,6.181993218909636,3.164862273199102e-10,2.3058282276164884e-09,True
T_cells_Bindea_et_al,iobr,14,0.6292740529450253,0.4908510075804296,0.1384230453645957,7,0.5,7.524168935915432,2.6528353976546488e-14,3.006546784008602e-13,True
MHC_Class_I_Rooney_et_al,iobr,14,0.6291795552877539,0.4950412505812759,0.13413830470647795,8,0.5714285714285714,5.753583951618849,4.368551427082757e-09,2.227961227812206e-08,True
T_cell_inflamed_GEP_Ayers_et_al,canonical,15,0.6270710817493665,0.49029199883263735,0.1367790829167292,9,0.6,7.79708945491447,3.1675666692355904e-15,5.384863337700504e-14,True
Immune_Checkpoint,iobr,14,0.6229940265264972,0.4920102610744261,0.13098376545207105,5,0.35714285714285715,5.493435805095521,1.970942176010326e-08,8.740700084915358e-08,True
TMEscoreA_CIR,iobr,15,0.620704926488393,0.48848380828062005,0.13222111820777294,9,0.6,10.559673475996577,2.2912652938299252e-26,2.3370905997065236e-24,True
PDCD1,canonical,14,0.6168134300900139,0.4960482682578455,0.12076516183216844,4,0.2857142857142857,4.456838866390194,4.158853755793816e-06,1.2120088088313405e-05,True
APM,iobr,15,0.6135753510031109,0.4924495254985267,0.12112582550458419,9,0.6,5.950771986235545,1.3344033451629769e-09,8.006420070977863e-09,True
MHC_I,canonical,15,0.6106701948886134,0.49186072327249813,0.11880947161611524,6,0.4,6.130798324160152,4.3719595110523386e-10,2.9729324675155904e-09,True
CTLA4,canonical,14,0.6097790080630593,0.4951593256429313,0.114619682420128,7,0.5,4.4588823618717095,4.119406026212297e-06,1.2120088088313405e-05,True
B_cells_Rooney_et_al,iobr,14,0.6084625639819699,0.49194431835670444,0.11651824562526535,6,0.42857142857142855,5.552945290068368,1.4044800518744785e-08,6.821760251961753e-08,True
Cytotoxic_cells_Bindea_et_al,iobr,14,0.6041471636661351,0.4909544062864253,0.11319275737970982,8,0.5714285714285714,6.099744856910655,5.311895206257943e-10,3.386333193989439e-09,True
PDL1_CD274,canonical,14,0.603496551808857,0.4958208727097417,0.10767567909911527,4,0.2857142857142857,4.25615798431966,1.0398488899486743e-05,2.9462385215212434e-05,True
