observed_auroc,null_mean,null_sd,null_q95,p_empirical,z_vs_null,n_draws,realized_size,n_pos,n_neg,cohort,signature,collection,direction,base_seed,seed,beats_null_p05,above_null_q95
0.6031172948221205,0.532295174357168,0.04378528807020183,0.5990181401902078,0.04195804195804196,1.6174866852857515,1000,6,68,167,Mariathasan,APM,iobr,1,20260705,20261074,True,True
0.6017083480098626,0.5536661676646706,0.012103153158430878,0.5729174004931314,0.000999000999000999,3.9693937370136108,1000,134,68,167,Mariathasan,Antigen_Processing_and_Presentation_Li_et_al,iobr,1,20260705,20262074,True,True
0.5051074321944347,0.5562513208876364,0.006676714236488503,0.5668369144064812,1.0,-7.660038588097482,1000,452,68,167,Mariathasan,Antimicrobials_Li_et_al,iobr,1,20260705,20263074,False,False
0.5293237055301162,0.5505849771046143,0.016792268941094382,0.5774964776329694,0.8901098901098901,-1.2661345318539456,1000,64,68,167,Mariathasan,BCR_Signaling_Pathway_Li_et_al,iobr,1,20260705,20264074,False,False
0.5567981683691441,0.5463982916519902,0.025478135999202015,0.5878874603733709,0.3546453546453546,0.40818828808668145,1000,27,68,167,Mariathasan,B_cells_Bindea_et_al,iobr,1,20260705,20265074,False,False
0.5450862979922508,0.5369703240577668,0.03589516188296379,0.5925589996477633,0.42957042957042957,0.2261021683352811,1000,10,68,167,Mariathasan,B_cells_Rooney_et_al,iobr,1,20260705,20266074,False,False
0.5419161676646707,0.4492451567453328,0.01959322402565609,0.48301338499471647,0.000999000999000999,4.729747937245603,1000,49,68,167,Mariathasan,CAF_Peng_et_al,iobr,-1,20260705,20267074,True,True
0.61808735470236,0.5295500176118352,0.04500230066363225,0.6000352236703065,0.023976023976023976,1.9673957949904228,1000,5,68,167,Mariathasan,CD8_Rooney_et_al,iobr,1,20260705,20268074,True,True
0.5397146882705178,0.5495765234237409,0.022185116010300092,0.5831322648820008,0.6943056943056943,-0.44452484037696194,1000,36,68,167,Mariathasan,CD8_T_cells_Bindea_et_al,iobr,1,20260705,20269074,False,False
0.6369320183163085,0.5348667664670659,0.0414382621643215,0.600215744980627,0.002997002997002997,2.4630678633314216,1000,8,68,167,Mariathasan,CD_8_T_effector,iobr,1,20260705,20270074,True,True
0.5538922155688623,0.5178973670306446,0.054110310991835636,0.6024172243747798,0.26873126873126874,0.6652123759489886,1000,1,68,167,Mariathasan,CTLA4,canonical,1,20260705,20271074,False,False
0.44461077844311375,0.46244276153575203,0.03700396992481416,0.5289758717858402,0.6623376623376623,-0.481893784068841,1000,10,68,167,Mariathasan,CellCycle_Reg,iobr,-1,20260705,20272074,False,False
0.3976752377597746,0.44642426910884114,0.012705591936223946,0.46804332511447694,1.0,-3.836817016772111,1000,123,68,167,Mariathasan,Cell_cycle,iobr,-1,20260705,20273074,False,False
0.5947516731243395,0.5398529411764706,0.03560464682123722,0.5952007749207467,0.05194805194805195,1.5418979501047387,1000,12,68,167,Mariathasan,Chemokine12_Messina,canonical,1,20260705,20274074,False,False
0.4911060232476224,0.5497566044381824,0.02036967005671157,0.580948397323001,0.997002997002997,-2.879309337228823,1000,44,68,167,Mariathasan,Chemokine_Receptors_Li_et_al,iobr,1,20260705,20275074,False,False
0.4972701655512504,0.5532771222261359,0.014762445381747443,0.5768756604438182,1.0,-3.79388070381168,1000,93,68,167,Mariathasan,Chemokines_Li_et_al,iobr,1,20260705,20276074,False,False
0.5739697076435365,0.5206071680169074,0.047492502843263805,0.5968871081366678,0.1258741258741259,1.1235992300245312,1000,3,68,167,Mariathasan,Co_inhibition_APC_Rooney_et_al,iobr,1,20260705,20277074,False,False
0.5747622402254315,0.5364037513208875,0.03803115563405972,0.5946768228249384,0.15684315684315683,1.0086069767017862,1000,9,68,167,Mariathasan,Co_inhibition_T_cell_Rooney_et_al,iobr,1,20260705,20278074,False,False
0.49550898203592814,0.5392320359281436,0.03478164096608511,0.5931666079605495,0.8891108891108891,-1.2570727739628202,1000,11,68,167,Mariathasan,Co_stimulation_APC_Rooney_et_al,iobr,1,20260705,20279074,False,False
0.5353997886579782,0.5399041916167664,0.03406905487511691,0.5921275096865094,0.5674325674325674,-0.1322139101099065,1000,13,68,167,Mariathasan,Co_stimulation_T_cell_Rooney_et_al,iobr,1,20260705,20280074,False,False
0.4703240577668193,0.5554998238816484,0.00833674371986214,0.5684263825290595,1.0,-10.21691070002541,1000,294,68,167,Mariathasan,Cytokine_Receptors_Li_et_al,iobr,1,20260705,20281074,False,False
0.4917224374779852,0.5562498238816485,0.006900050496434282,0.5673696724198661,1.0,-9.35172669200158,1000,423,68,167,Mariathasan,Cytokines_Li_et_al,iobr,1,20260705,20282074,False,False
0.6018844663613948,0.5214730538922157,0.052326942738529496,0.6057678760126805,0.060939060939060936,1.5367114580147339,1000,2,68,167,Mariathasan,Cytolytic_Activity_Rooney_et_al,canonical,1,20260705,20283074,False,False
0.5885875308207115,0.5434844135258894,0.02968923400706548,0.5917444522719266,0.060939060939060936,1.5191741654260393,1000,17,68,167,Mariathasan,Cytotoxic_cells_Bindea_et_al,iobr,1,20260705,20284074,False,False
0.46231067277210286,0.5357700774920746,0.039954035973372444,0.5986306798168369,0.957042957042957,-1.8385978520149784,1000,7,68,167,Mariathasan,DC_Bindea_et_al,iobr,1,20260705,20285074,False,False
0.3991722437477985,0.4454048960901726,0.011222052135612904,0.4639001408946812,1.0,-4.119803738538684,1000,163,68,167,Mariathasan,DDR,iobr,-1,20260705,20286074,False,False
0.5160267699894329,0.4637292180345192,0.03972474772534932,0.5339380063402606,0.1028971028971029,1.3164980257770478,1000,8,68,167,Mariathasan,EMT1,iobr,-1,20260705,20287074,False,False
0.5603205353997887,0.4652727192673476,0.041176070472754275,0.537874251497006,0.017982017982017984,2.308326536290856,1000,7,68,167,Mariathasan,EMT2,iobr,-1,20260705,20288074,True,True
0.5600563578724903,0.4652736879182811,0.04359119105651173,0.5430081014441704,0.024975024975024976,2.174353754898156,1000,6,68,167,Mariathasan,EMT3,iobr,-1,20260705,20289074,True,True
0.5304684748150758,0.5443539978865798,0.0278360870633504,0.5882396970764354,0.7072927072927073,-0.4988317158192115,1000,22,68,167,Mariathasan,EV_Cell_2020,iobr,1,20260705,20290074,False,False
0.4880239520958084,0.5475697428672067,0.024065821567728136,0.5870112715744981,0.9920079920079921,-2.474288717042938,1000,29,68,167,Mariathasan,Eosinophils_Bindea_et_al,iobr,1,20260705,20291074,False,False
0.3997005988023952,0.47240066924973584,0.04669326339892532,0.5538085593518846,0.9400599400599401,-1.556971287832794,1000,4,68,167,Mariathasan,Exhausted_CD8_Danaher_et_al,iobr,-1,20260705,20292074,False,False
0.5343430785487848,0.5463355935188446,0.027002645969769475,0.5892127509686509,0.6963036963036963,-0.4441236974882355,1000,23,68,167,Mariathasan,Ferroptosis,iobr,1,20260705,20293074,False,False
0.5332863684395914,0.45215119760479044,0.023889841448013455,0.4933999647763297,0.001998001998001998,3.396220565605626,1000,29,68,167,Mariathasan,GPAGs,iobr,-1,20260705,20294074,True,True
0.3794469883761888,0.4542490313490666,0.02705005675962906,0.5005283550545967,1.0,-2.7653192611601587,1000,26,68,167,Mariathasan,Homologous_recombination,iobr,-1,20260705,20296074,False,False
0.4800105671010919,0.4504347481507573,0.019631569224885913,0.4843386755899965,0.07092907092907093,1.506543802562808,1000,48,68,167,Mariathasan,ICB_resistance_Peng_et_al,iobr,-1,20260705,20297074,False,False
0.6332335329341318,0.5304291123635082,0.0419664619452301,0.5944082423388517,0.001998001998001998,2.449680430644649,1000,6,68,167,Mariathasan,IFNG_6gene_Ayers,canonical,1,20260705,20298074,True,True
