cohort,signature,collection,direction,method,response_definition,n_genes_published,n_genes_covered,coverage,n_pos,n_neg,auroc,auroc_se,logit_auroc,logit_auroc_se,os_loghr_per_sd,os_loghr_se,os_p,excluded_reason
Mariathasan,T_cell_inflamed_GEP_Ayers_et_al,canonical,1,mean_z,primary,18,18,1.0,68,167,0.6008277562522015,0.04172093283859258,0.40891528587457454,0.17395771228250767,-0.1708935685687052,0.0632895515267332,0.00693006949341418,
Mariathasan,IFNG_6gene_Ayers,canonical,1,mean_z,primary,6,6,1.0,68,167,0.6337618879887285,0.04127584563604371,0.5483896117648928,0.17783053057911052,-0.21424170933921813,0.06371003341891984,0.0007716672999262848,
Mariathasan,Cytolytic_Activity_Rooney_et_al,canonical,1,mean_z,primary,2,2,1.0,68,167,0.6021486438886932,0.04170778534031408,0.4144258731712978,0.17409751584951452,-0.13137482790523528,0.06391191418913653,0.03982486584059236,
Mariathasan,Chemokine12_Messina,canonical,1,mean_z,primary,12,12,1.0,68,167,0.5946636139485735,0.041777172737275346,0.3832785857576007,0.1733213603105273,-0.1352310010419665,0.06260685593253303,0.030772431878065658,
Mariathasan,TLS_Cabrita,canonical,1,mean_z,primary,9,9,1.0,68,167,0.5194610778443114,0.041802602932145605,0.07788365681684334,0.1674641088349066,-0.10920325708944174,0.06880957358159853,0.11250453526243125,
Mariathasan,TLS_12chemokine_Prabhakaran,canonical,1,mean_z,primary,12,12,1.0,68,167,0.5946636139485735,0.041777172737275346,0.3832785857576007,0.1733213603105273,-0.1352310010419665,0.06260685593253303,0.030772431878065658,
Mariathasan,Roh_immune,canonical,1,mean_z,primary,41,41,1.0,68,167,0.5778443113772455,0.04188814646800326,0.313930298526717,0.17171477115292585,-0.13401931049769805,0.06374829226516751,0.03552525279957553,
Mariathasan,MHC_I,canonical,1,mean_z,primary,8,8,1.0,68,167,0.5894681225783727,0.04181806259982437,0.36176706217556953,0.1728051569915414,-0.13838199008065982,0.06378953008590121,0.030055916175512506,
Mariathasan,MHC_II,canonical,1,mean_z,primary,13,13,1.0,68,167,0.5275625220147939,0.04185740860687997,0.11036196701912597,0.16793996543677778,-0.09929489008152508,0.06510077282578897,0.12719699757302178,
Mariathasan,PDL1_CD274,canonical,1,mean_z,primary,1,1,1.0,68,167,0.5876188798872842,0.04183118594925442,0.35413060372006466,0.1726257833852462,-0.1686774696282441,0.07072263749138685,0.01707650938983498,
Mariathasan,PDCD1,canonical,1,mean_z,primary,1,1,1.0,68,167,0.5818950334624868,0.04186706643143619,0.33055755947125554,0.17208481712658297,-0.12100967275947903,0.06250526863825577,0.05286873424292674,
Mariathasan,CTLA4,canonical,1,mean_z,primary,1,1,1.0,68,167,0.5538922155688623,0.04194049818498924,0.21640951913286557,0.1697338732278128,-0.14479796353638286,0.06380139919251386,0.023237282148992323,
Mariathasan,APM,iobr,1,mean_z,primary,6,6,1.0,68,167,0.602765058119056,0.04170151704144156,0.4169996003141534,0.1741631786514148,-0.14897615127809127,0.06430364219235314,0.020516770803485157,
Mariathasan,Antigen_Processing_and_Presentation_Li_et_al,iobr,1,mean_z,primary,135,134,0.9926,68,167,0.6017083480098626,0.04171221093891382,0.41258832530293504,0.17405077815838516,-0.13299173085561286,0.06353137008076351,0.03632025692165415,
Mariathasan,Antimicrobials_Li_et_al,iobr,1,mean_z,primary,463,452,0.9762,68,167,0.5063402606551602,0.0416849075871455,0.025362402066662532,0.16676644566272453,-0.04094457656997832,0.06504767748774946,0.5290513135829686,
Mariathasan,BCR_Signaling_Pathway_Li_et_al,iobr,1,mean_z,primary,64,64,1.0,68,167,0.5300281789362452,0.04187137034646591,0.12025743521382615,0.16809174901140223,-0.1157544080519824,0.06388959308377751,0.07001893586011079,
