signature,mean_corr_with_gep,mean_auroc,is_reference
T_cell_inflamed_GEP_Ayers_et_al,1.0,0.6285068850919573,True
IFNG_6gene_Ayers,0.9203782339360715,0.6385140572072864,False
Cytolytic_Activity_Rooney_et_al,0.8435702913515634,0.6333680830144482,False
Chemokine12_Messina,0.8576826330959162,0.6387934025228273,False
TLS_Cabrita,0.6580595019516597,0.5551911556245925,False
TLS_12chemokine_Prabhakaran,0.8576826330959162,0.6387934025228273,False
Roh_immune,0.9578077903385809,0.6308656442211878,False
MHC_I,0.766625682725132,0.6109103056764894,False
MHC_II,0.8565355521629222,0.6004561205229814,False
PDL1_CD274,0.630755540506509,0.603496551808857,False
PDCD1,0.723824863622097,0.6168134300900139,False
CTLA4,0.5684666349045915,0.6097790080630593,False
APM,0.7593764737788713,0.6125393315606932,False
Antigen_Processing_and_Presentation_Li_et_al,0.7871864557026306,0.5718086720044695,False
Antimicrobials_Li_et_al,0.7234746521843388,0.5560703436362231,False
BCR_Signaling_Pathway_Li_et_al,0.6695614140927185,0.5477096720336646,False
B_cells_Bindea_et_al,0.6738009462343382,0.5940561931713806,False
B_cells_Rooney_et_al,0.6694119551125418,0.6076468868899811,False
CAF_Peng_et_al,-0.4246372485180188,0.5152461876156946,False
CD8_Rooney_et_al,0.8729152648809905,0.6329266408544412,False
CD8_T_cells_Bindea_et_al,0.5976635335948773,0.519691919420313,False
CD_8_T_effector,0.9062043966943115,0.6467790243321333,False
CellCycle_Reg,-0.2945355191560476,0.4795539859720782,False
Cell_cycle,-0.30109130012803687,0.4733834867633762,False
Chemokine_Receptors_Li_et_al,0.737534971062226,0.5584721721951484,False
Chemokines_Li_et_al,0.680119424936134,0.5512474986868349,False
Co_inhibition_APC_Rooney_et_al,0.8235784415048428,0.5757262095754169,False
Co_inhibition_T_cell_Rooney_et_al,0.9134339039254982,0.6292569307715876,False
Co_stimulation_APC_Rooney_et_al,0.7731368824444729,0.5405735704054289,False
Co_stimulation_T_cell_Rooney_et_al,0.8459935543535563,0.5956702248256733,False
Cytokine_Receptors_Li_et_al,0.5719253361052671,0.511560999409417,False
Cytokines_Li_et_al,0.5930684411900209,0.5053112333580166,False
Cytotoxic_cells_Bindea_et_al,0.8655359022340615,0.6055443255942752,False
DC_Bindea_et_al,0.611414154431038,0.5273642918891842,False
DDR,-0.22722050898535245,0.5090881007717827,False
EMT1,-0.36268252546916563,0.534333823010046,False
EMT2,-0.38822050001242253,0.5265924428099603,False
EMT3,-0.298983333024984,0.5441423150112645,False
EV_Cell_2020,0.49959619435555896,0.533579393116649,False
Eosinophils_Bindea_et_al,0.446699059114844,0.4839812771449693,False
Exhausted_CD8_Danaher_et_al,-0.8418542905240302,0.3603058423156921,False
Ferroptosis,0.33000645577386584,0.5356609583494579,False
GPAGs,-0.5427590151007204,0.4997557559701177,False
Homologous_recombination,-0.21170088370830406,0.4880857718407089,False
