signature,mean_corr_with_gep,mean_auroc,is_reference
T_cell_inflamed_GEP_Ayers_et_al,1.0,0.6427748215514347,True
IFNG_6gene_Ayers,0.9109695292135341,0.6406723275338321,False
Cytolytic_Activity_Rooney_et_al,0.8691113541002009,0.6298298710656406,False
Chemokine12_Messina,0.8337083327174561,0.6406379545821945,False
TLS_Cabrita,0.5096365478210393,0.5632742593361442,False
TLS_12chemokine_Prabhakaran,0.8337083327174561,0.6406379545821945,False
Roh_immune,0.9366202181389653,0.6468409974850845,False
MHC_I,0.7141728151394904,0.627494926097984,False
MHC_II,0.7848219640580154,0.600753985199175,False
PDL1_CD274,0.5795080326447782,0.6121872193040334,False
PDCD1,0.7955888824238309,0.6141513572688312,False
CTLA4,0.5529231980030375,0.6020064821060203,False
APM,0.6931886255296834,0.6235519395180887,False
Antigen_Processing_and_Presentation_Li_et_al,0.7812899348060756,0.6159053912770469,False
Antimicrobials_Li_et_al,0.6232905298554332,0.5815607021201956,False
BCR_Signaling_Pathway_Li_et_al,0.6713298798914347,0.618899284565996,False
B_cells_Bindea_et_al,0.6049797867132869,0.6131777966300335,False
B_cells_Rooney_et_al,0.589904117670435,0.6037716723985695,False
CAF_Peng_et_al,-0.267536339576008,0.49641474134547897,False
CD8_Rooney_et_al,0.8965452063492741,0.6271395988008924,False
CD8_T_cells_Bindea_et_al,0.6463676552013038,0.5826405267879698,False
CD_8_T_effector,0.9307017640557331,0.6432316569492695,False
CellCycle_Reg,-0.06189657564949103,0.43500009007082324,False
Cell_cycle,-0.02189067745537819,0.43773931197777466,False
Chemokine_Receptors_Li_et_al,0.6256705440059404,0.5651492805504198,False
Chemokines_Li_et_al,0.6089331407932298,0.5729361291545011,False
Co_inhibition_APC_Rooney_et_al,0.7288102520950149,0.6273386630616441,False
Co_inhibition_T_cell_Rooney_et_al,0.883572528821266,0.6491606210512709,False
Co_stimulation_APC_Rooney_et_al,0.6681902263660439,0.5888346902277364,False
Co_stimulation_T_cell_Rooney_et_al,0.8146480137430209,0.6150332465847804,False
Cytokine_Receptors_Li_et_al,0.4279770879857904,0.5423899572093165,False
Cytokines_Li_et_al,0.5159124623020162,0.5340119396816249,False
Cytotoxic_cells_Bindea_et_al,0.8440753383192546,0.6329997761754925,False
DC_Bindea_et_al,0.4494531278694412,0.5319260901999516,False
DDR,0.06976667210466009,0.46573709022976933,False
EMT1,-0.12145254753775883,0.5146640328352697,False
EMT2,-0.18902580871466282,0.5173446255777024,False
EMT3,-0.04351019078977867,0.5318279365872075,False
EV_Cell_2020,0.4100549938988645,0.5496763196195874,False
Eosinophils_Bindea_et_al,0.18124827902067397,0.5172725970416089,False
Exhausted_CD8_Danaher_et_al,-0.8109038657047333,0.36367340701633655,False
Ferroptosis,0.09764965596248226,0.538855115627251,False
GPAGs,-0.3649147472112057,0.47382538233191984,False
Homologous_recombination,0.0937714655492519,0.46294349040987715,False
ICB_resistance_Peng_et_al,-0.7779123305245944,0.3860804044764701,False
Immune_Checkpoint,0.902543516247109,0.6398083529402003,False
Interferon_Receptor_Li_et_al,0.4282579502382914,0.5718564189722607,False
Interferons_Li_et_al,0.36868865969745557,0.5492941922714434,False
Interleukins_Li_et_al,0.5277460496564529,0.5554324273031133,False
Interleukins_Receptor_Li_et_al,0.6551582056511304,0.599260857800065,False
Lymph_vessels_Bindea_et_al,-0.2457372869090028,0.49087348648722606,False
MDSC_Peng_et_al,-0.04220283612454496,0.4912467587047926,False
MDSC_Wang_et_al,-0.7389498002760809,0.42111766856674915,False
MHC_Class_I_Rooney_et_al,0.722402078475802,0.634868824041211,False
MT_exosome,-0.04907804701012973,0.5103171321616442,False
Macrophages_Bindea_et_al,-0.47566707905005406,0.42885748030476867,False
Macrophages_Rooney_et_al,-0.483105784322674,0.43495113591044965,False
Mast_cells_Bindea_et_al,-0.0742416599607573,0.48690320436129886,False
Mismatch_Repair,0.08104877255165914,0.4963501484187845,False
Molecular_Cancer_m6A,-0.19039511052253535,0.5068155772530258,False
NK_CD56dim_cells_Bindea_et_al,0.5502440656499055,0.5612291735292582,False
NK_CD56dim_cells_Danaher_et_al,0.6665089005019409,0.5841231898695851,False
NK_cells_Bindea_et_al,0.28795627850301136,0.542793243249747,False
NK_cells_Danaher_et_al,0.5923893318221486,0.5922702357581394,False
NK_cells_Rooney_et_al,0.5421550425120262,0.6040259654133712,False
Natural_Killer_Cell_Cytotoxicity_Li_et_al,0.7996134160211109,0.6399122245933546,False
Nature_metabolism_Hypoxia,0.0009358826128935035,0.5014010071908482,False
Neutrophils_Bindea_et_al,-0.3700142373572949,0.45537831640537396,False
Neutrophils_Rooney_et_al,-0.5586283086871076,0.4226955119025149,False
Normal_mucosa_Bindea_et_al,-0.11423148766241219,0.5087520449804792,False
PPAGs,-0.07766141980423602,0.5209572380931929,False
Pan_F_TBRs,-0.15213819945533694,0.4927065377059123,False
Positive_regulation_of_exosomal_secretion,0.11933505463854231,0.4962204978592927,False
SW480_cancer_cells_Bindea_et_al,0.0915567844823268,0.5651878923082311,False
TAM_Peng_et_al,-0.3822058046657588,0.46402588027081954,False
TCR_signaling_Pathway_Li_et_al,0.7368275138887765,0.6367186731827381,False
TFH_Bindea_et_al,0.48892252134814995,0.5935355001444116,False
TGFb_Family_Member_Li_et_al,0.0965138051589793,0.5508326014992259,False
TGFb_Family_Member_Receptor_Li_et_al,0.15883331646116944,0.4830513980566055,False
TMEscoreA_CIR,0.8617277919641888,0.6483800964264275,False
TMEscoreB_CIR,0.0477530060214673,0.5400517830598959,False
