retired_symbol,current_symbol
ADSSL1,ADSS1
AES,TLE5
ALIX,PDCD6IP
ARL6IP2,ATL2
ATP5G3,ATP5MC3
BLR1,CXCR5
C10orf54,VSIR
C11orf45,KCNJ5-AS1
C12orf47,MAPKAPK5-AS1
C13orf34,BORA
C15orf53,LINC02694
C18orf1,LDLRAD4
C19orf6,TMEM259
C1orf61,MIR9-1HG
C2orf40,ECRG4
C4orf15,HAUS3
C7orf54,SND1-IT1
C9orf156,TRMO
CARS,CARS1
CECR1,ADA2
CG030,N4BP2L2-IT2
CLUAP1,IFT38
CMAH,CMAHP
CTGF,CCN2
CXorf56,STEEP1
CYR61,CCN1
CYorf15B,TXLNGY
DDX58,RIGI
DEFB130,DEFB130A
DEFB131,DEFB131A
EDG8,S1PR5
ELA2,ELANE
EMR1,ADGRE1
FAM101B,RFLNB
FAM129A,NIBAN1
FAM160A1,FHIP1A
FAM189A2,ENTREP1
FAM196B,INSYN2B
FAM19A1,TAFA1
FAM19A2,TAFA2
FAM19A3,TAFA3
FAM19A4,TAFA4
FAM19A5,TAFA5
FIGF,VEGFD
FPRL1,FPR2
FUSIP1,SRSF10
FYB,FYB1
GPR44,PTGDR2
GPR56,ADGRG1
H2AFX,H2AX
HFE2,HJV
HIST1H1C,H1-2
HIST1H2AG,H2AC11
HIST1H2AI,H2AC13
HIST1H2BL,H2BC13
HIST1H4K,H4C12
HIST2H2BF,H2BC18
HNRPH1,HNRNPH1
IGSF2,CD101
IL1RL1,IL33R
IL1RL2,IL36R
IL8RB,CXCR2
INDO,IDO1
KAL1,ANOS1
KIAA0125,FAM30A
KIAA0329,TECPR2
KIAA0368,ECPAS
KIAA1324,ELAPOR1
KIAA1429,VIRMA
LINC01279,CCDC80
LOH11CR2A,VWA5A
MB21D1,CGAS
MESH1,HDDC3
MKL2,MRTFB
MLL,KMT2A
MRE11A,MRE11
MRVI1,IRAG1
MYST3,KAT6A
NIBP,TRAPPC9
OVOS2,OVOS2P
PCNX,PCNX1
PCTK1,CDK16
PDXDC2,PDXDC2P
PPAP2B,PLPP3
PTRF,CAVIN1
PVRL3,NECTIN3
RARRES3,PLAAT4
RNU2,RNU2-1
SELM,SELENOM
SEPP1,SELENOP
SFRS7,SRSF7
SKIV2L,SKIC2
SMEK1,PPP4R3A
SQS,FDFT1
TM7SF4,DCSTAMP
TMEM173,STING1
TMEM55A,PIP4P2
TMEPAI,PMEPA1
VIL2,EZR
VNN3,VNN3P
WARS,WARS1
WHDC1L1,WHAMMP3
