signature,n_unmapped,unmapped
B_cells_Bindea_et_al,1,IGLA
Cytokines_Li_et_al,2,NOV;TDGF1
DDR,1,SHFM1
Ferroptosis,7,AKR1C1-3;ALOXs;CD44v;GCLC/GCLM;HSPB1/5;KOD;TTC35/EMC2
Homologous_recombination,1,SHFM1
Mast_cells_Bindea_et_al,3,LOC339524;NM_003293;PGDS
NK_CD56dim_cells_Bindea_et_al,2,BG255923;FLJ20699
NK_cells_Bindea_et_al,9,AF107846;AL080130;GAGE2;LOC643313;LOC730096;NM_014114;NM_014274;NM_017616;RP5-886K2.1
Neutrophils_Bindea_et_al,3,FLJ11151;HIST1H2BC;IL8RA
Positive_regulation_of_exosomal_secretion,1,RAB7
SW480_cancer_cells_Bindea_et_al,2,LOC89944;NM_024609
TMEscoreA_CIR,1,LOC100509457
TMEscoreB_CIR,4,LOC100506718;LOC101930349;LOC101930400;NOV
T_cells_Bindea_et_al,1,TRAA
T_helper_cells_Bindea_et_al,1,TRAA
Tcm_Bindea_et_al,2,LOC202134;RP11-74E24.2
Tem_Bindea_et_al,1,TRAA
Tgd_Bindea_et_al,1,TRDA
Th2_cells_Bindea_et_al,1,AI582773
iDC_Bindea_et_al,1,NM_021941
